categorie,details,adresse,chambres,superficie,prix,image_lien
Appartements meublés,Location de studios à Sud Foire,"Sud foire, Dakar",1 chambre,,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/118a8ac3dc371785a190a9c58d822c92/-/horizon-files-prod/ed/picture/migrated/qm047n9/1299ad14635fa336b08f150a682e25cf15bbdfd7.jpg
Appartements meublés,Chambre meublée au virage,"Yoff, Dakar",,,12 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cbe3c17b898e878b8d743d4cf70c9ff0/-/horizon-files-prod/ed/picture/migrated/q40r6g4/a12a9f8adfe6d12df61b3247fae5ac4c67898372.jpg
Appartements meublés,Mini studio,"Yoff, Dakar",,,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c69b3a3181f197332964c9f08afacdf/-/horizon-files-prod/ed/picture/migrated/qrn6jxq/42ef21b74f952176d61443cade5ba21ea6d1d352.jpg
Appartements meublés,Chambre meublée sur dieupeul,"Dieuppeul, Dakar",1 chambre,30 m²,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa3fe1516192157fa3cd4583e4736293/-/horizon-files-prod/ed/picture/qgqwzv5n/46189fd2fbc675f0ec3ce6a7af2944f7158c736a.jpg
Appartements meublés,Mini studio meublé sur bourguiba,"Avenue Bourguiba, Dakar",1 chambre,70 m²,17 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e1a1c46c98a8cc8c0c30035b67243aa2/-/horizon-files-prod/ed/picture/qm5g4n7j/71d89a3e2a33378abe5d2073630129d8cd26f37c.jpg
Appartements meublés,CHAMBRE MEUBLÉE A LOUER A SACRÉ COEUR,"Sacré-cœur, Dakar",,,17 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/286a8762147c99f7ce843ff8c31bdc87/-/horizon-files-prod/ed/picture/q0g745d8/bfb0a97b28c7f5616ee6c59800583b43578f31df.png
Appartements meublés,Suite meublée à louer sur sacre coeur 3,"Sacré-cœur, Dakar",,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/497324d456832ffb25997330ee605c99/-/horizon-files-prod/ed/picture/qwepx6q5/dff6487cfa51110c6d4420f5e1558966c27a717b.jpg
Appartements meublés,Studio haut standing,"Avenue Bourguiba, Dakar",1 chambre,,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/707fd7003fb6b09de34bcb0521acccd4/-/horizon-files-prod/ed/picture/q445d2e2/5895081ac40dfec1712b491587289b2c6e5e2810.jpg
Appartements meublés,Appartement F2,"Mamelles, Dakar",1 chambre,175 m²,37 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a147d2d032c22a77d7a73368f186c7d7/-/horizon-files-prod/ed/picture/q78jxx2d/0d7b454038419ffa80cdfcd6b46a534f571e0dcf.jpg
Appartements meublés,F2 cosy quasi neuf meublé à louer à Ngor Almadies,"Almadies, Dakar",1 chambre,63 m²,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/50a220f6c7ec7204456c3949c3bef41e/-/horizon-files-prod/ed/picture/qwernxpj/0a3715da3dbfb59b4e4d5a5467aeea2ea897ed39.jpg
Appartements meublés,Studio meublè comico Ouakam,"Ouakam, Dakar",80 m²,,12 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6404895a582e25751ab701dc9194dcbc/-/horizon-files-prod/ed/picture/qder42nw/d9d4d7a6a27d74a749576a5f2fec0bb0bd7548ec.jpg
Appartements meublés,Appart 1 chambre Accessible et Calme-Sacré-Cœur 3 VDN,"Sacré-cœur, Dakar",1 chambre,,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/30c40357811a3deed8604bede5a2c202/-/horizon-files-prod/ed/picture/qwer246k/c730e8c98423031c56e1b2e673733d89fe6c9367.jpg
Appartements meublés,Appartement 2 chambres à Ngor Almadies-Rez de chaussée,"Ngor, Dakar",2 chambre,,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4210ccc27a1c5b0125fe57c66afbb8ba/-/horizon-files-prod/ed/picture/qkrg44zw/f2ad00de1ea3e964ce9c56a3228b83819edfb871.png
Appartements meublés,Magnifique et cosy appartements à 300 m de la mer,"Yoff, Dakar",2 chambre,,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/427da139fc7193c771bb9098ed903f9b/-/horizon-files-prod/ed/picture/qkr8e66m/584b7d73c1e966fc5f98ed8807e5451529f71aaf.jpg
Appartements meublés,Appartement meublé à Mermoz Pyrotechnique,"Mermoz, Dakar",3 chambre,,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4a801b0298582a0896fb8e5cd27912e3/-/horizon-files-prod/ed/picture/qde90842/12f90dec8eb286594acf12664b0e4fb1bcbdac0a.jpg
Appartements meublés,Appartement meublé à liberté 6 extension,"Liberte 6 extension, Dakar",2 chambre,125 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/110ba84e22a7685cc05050abaab1bd13/-/horizon-files-prod/ed/picture/qdeewvwg/e6dc813d04a654757b91ef22c6e853a860f98c38.jpg
Appartements meublés,Studio meublé au RDC + cour au mariste,"Hann maristes, Dakar",1 chambre,70 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e00a1947a20166d5ebba3d5454792ddc/-/horizon-files-prod/ed/picture/qngxnqg0/c48bcd40b15a69d6864346c166fb5e25ea1a05ba.jpg
Appartements meublés,Magnifique studio meublé Marie Ibou Cité poste Djily Mbay,"Yoff, Dakar",,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c59a302cbb2c0838b514d83ba6e7b5f1/-/horizon-files-prod/ed/picture/migrated/q0n8erk/54b72705a7dfd93eb93472d055af0041e7a63f7d.jpg
Appartements meublés,Offre exceptionnelle: Suites de standing aux Mamelles,"Mamelles, Dakar",1 chambre,,65 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb84e976053ea77478539599a5ef05c7/-/horizon-files-prod/ed/picture/q0g7v29e/71b78289867324442fce34e687cbdbc02f74865b.jpg
Appartements meublés,Appartements à louer a l'hôtel les Mamelles,"Mamelles, Dakar",,,65 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d93381c55b4a70b692267b256cc4770e/-/horizon-files-prod/ed/picture/qq42jj4p/2969759db00891627bb0671e0c4dcd008b6f5438.jpg
Appartements meublés,Chambre mini studio meublée au virage,"Yoff, Dakar",,,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd240e78bcd3edbdb2b83fcc310fe3ba/-/horizon-files-prod/ed/picture/migrated/q40r8jr/712842a6fbfe5f8c45849933598e7acc28bcd513.jpg
Appartements meublés,Magnifique F3 meublé à louer aux almadies,"Almadies, Dakar",2 chambre,,,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0245841bc3a48a5bac4323cbb50b3325/-/horizon-files-prod/ed/picture/q8vmzkr4/8b11db1f644a00e91f97beb2d12bbca0bef5d204.jpg
Appartements meublés,Appartement Meublé à Louer à Mermoz,"Mermoz, Dakar",2 chambre,150 m²,1 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62f6026afca15bc87823fc6cfaded047/-/horizon-files-prod/ed/picture/q445rwdr/77aafcb2ab7c2c90bdbd7658e41d0be819d2f165.jpg
Appartements meublés,Appartement Meublé à Louer à Fann Résidence,"Fann, Dakar",3 chambre,259 m²,2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad0927765c6283dd7e21f5f0950063dd/-/horizon-files-prod/ed/picture/qng90g90/7e5d30a2a2dbb4a11a4e1e26eb464899259a13f9.jpg
Appartements meublés,Appartement Meublé à Louer aux Almadies,"Almadies, Dakar",2 chambre,150 m²,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d5a561d3b90f06899f6c475daae514e0/-/horizon-files-prod/ed/picture/qde97kd2/d59eca38da925ccb09703c414c037d67b5176ef8.jpg
Appartements meublés,Appartement meublé à louer à Sicap Foire,"Grand-Yoff, Dakar",6 chambre,,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/06058192bbce443446c6deb1784b9281/-/horizon-files-prod/ed/picture/migrated/qvg04zw/3bf02f49fc2490f8435bd599889324e9ea045beb.jpg
Appartements meublés,Chambres meublées à la Sicap Foire,"Yoff, Dakar",10 chambre,,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdd43e16c3f930d9357f4eaa95cbb47f/-/horizon-files-prod/ed/picture/migrated/qvdrn4w/e14360479f4f98f20e90a70da11e10d44a5db5e0.jpg
Appartements meublés,Chambre meublée,"Sicap foire, Dakar",12 chambre,15 m²,12 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f9231ea0320e3d44ae05db997a519c00/-/horizon-files-prod/ed/picture/qj444w7d/73291466c3cf86aaa4f2913fc60fc6c00901702f.jpg
Appartements meublés,Chambre meublée à louer ( Chez Ouly),"Cité biagui, Dakar",,,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cd055ebb6a538bfc5daa333a5f3ebcd0/-/horizon-files-prod/ed/picture/q6xdepkg/ec5d1ec5c52eb9dbf6f25c3cf68107c4638f9bce.jpg
Appartements meublés,chambre meublée a louer par nuitée par jours,"Virage, Dakar",5 chambre,18 m²,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/553cb3e5d2937a38291d2b82d4b66f54/-/horizon-files-prod/ed/picture/q56pw5eg/cb40971c75697bd7cc37c6685a1dbaeaf9d0be3e.jpg
Appartements meublés,studio a louer par nuitée par jour,"Virage, Dakar",1 chambre,50 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8a5175527dfe6eeda97b26bee9c0308/-/horizon-files-prod/ed/picture/q6xq7mg4/9428c0ec32675caeada41a54fe6633c1056440e6.jpg
Appartements meublés,Studio à louer par jours/ nuitées,"Virage, Dakar",1 chambre,60 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f5de69475ed744b5cc8fa9254ac58f3/-/horizon-files-prod/ed/picture/q6gp96z/7e8c5c1fef600bbcadafef8479985cfca1e0c850.jpg
Appartements meublés,Chambre et studio meublés climatisés à louer par jours,"Cité keur gorgui, Dakar",20 chambre,16 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92995ddc5e05aceae8cec053c524b442/-/horizon-files-prod/ed/picture/q6xk5m26/f2c654cd70ab7dae3808058e428101952f6efd71.jpg
Appartements meublés,Bel Appartement Meublé 2 Chambres (Mamelles Cité Assemblée),"Mamelles, Dakar",2 chambre,100 m²,"25 000 F Cfa
30 000 F Cfa",https://i.roamcdn.net/hz/ed/listing-thumb-224w/721bcace75c1eb46e954a822e443d851/-/horizon-files-prod/ed/picture/qv4ejm4m/fb46110ea9947fad088f6f689d3ad9a68b2ef160.jpg
Appartements meublés,Appartement neuf de Standing à Mermoz,"Mermoz, Dakar",1 chambre,70 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b078081e601d47adc870cb92ae10ae74/-/horizon-files-prod/ed/picture/q22j52v/fd71de97e857cd694122963bbe53f4cc4f67b310.jpg
Appartements meublés,"2 Chambres,Salon meublés aux Mamelles","Mamelles, Dakar",2 chambre,140 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7731f64d6844e7f2f20aef775eee1c4b/-/horizon-files-prod/ed/picture/qgq9dxzn/378b3a9b480b966093e3a4a034256f29a29388a7.jpg
